date,hospital,total_beds,occupied_beds,occupancy_rate,elderly_patients_pct
2023-01-01,SGH,606,499,0.875,0.336
2023-01-01,NUH,966,452,0.633,0.382
2023-01-01,TTSH,1161,767,0.95,0.427
2023-01-01,CGH,776,470,0.713,0.297
2023-01-01,KTPH,1247,1134,0.836,0.159
2023-01-01,AH,1181,899,0.922,0.198
2023-01-01,IMH,1375,888,0.833,0.273
2023-01-01,KKH,984,1049,0.796,0.386
2023-01-02,SGH,773,684,0.771,0.541
2023-01-02,NUH,1276,730,0.864,0.416
2023-01-02,TTSH,866,1300,0.894,0.286
2023-01-02,CGH,1442,452,0.848,0.244
2023-01-02,KTPH,1371,723,0.816,0.389
2023-01-02,AH,605,1120,0.881,0.154
2023-01-02,IMH,1315,679,0.883,0.438
2023-01-02,KKH,1219,1039,0.833,0.32
2023-01-03,SGH,1421,680,0.95,0.296
2023-01-03,NUH,540,591,0.902,0.174
2023-01-03,TTSH,1174,860,0.937,0.439
2023-01-03,CGH,634,506,0.724,0.319
2023-01-03,KTPH,547,625,0.624,0.46
2023-01-03,AH,598,809,0.684,0.23
2023-01-03,IMH,1460,1176,0.95,0.38
2023-01-03,KKH,1268,455,0.904,0.285
2023-01-04,SGH,1370,1229,0.95,0.384
2023-01-04,NUH,1053,695,0.5,0.432
2023-01-04,TTSH,595,891,0.637,0.454
2023-01-04,CGH,1248,942,0.817,0.386
2023-01-04,KTPH,659,978,0.732,0.424
2023-01-04,AH,1077,860,0.729,0.3
2023-01-04,IMH,1145,1198,0.925,0.466
2023-01-04,KKH,1297,1122,0.771,0.401
2023-01-05,SGH,847,923,0.95,0.368
2023-01-05,NUH,876,582,0.745,0.317
2023-01-05,TTSH,1244,720,0.95,0.321
2023-01-05,CGH,1148,695,0.851,0.327
2023-01-05,KTPH,1183,919,0.791,0.321
2023-01-05,AH,1107,801,0.826,0.39
2023-01-05,IMH,996,666,0.709,0.49
2023-01-05,KKH,1124,815,0.562,0.347
2023-01-06,SGH,1141,622,0.865,0.307
2023-01-06,NUH,629,453,0.821,0.38
2023-01-06,TTSH,915,672,0.901,0.349
2023-01-06,CGH,622,855,0.95,0.425
2023-01-06,KTPH,1383,809,0.73,0.488
2023-01-06,AH,1251,603,0.938,0.569
2023-01-06,IMH,825,747,0.776,0.442
2023-01-06,KKH,1454,1237,0.865,0.3
2023-01-07,SGH,646,518,0.801,0.313
2023-01-07,NUH,1428,919,0.641,0.397
2023-01-07,TTSH,1140,1141,0.893,0.334
2023-01-07,CGH,650,623,0.683,0.318
2023-01-07,KTPH,1263,479,0.746,0.406
2023-01-07,AH,1071,1151,0.834,0.481
2023-01-07,IMH,1151,715,0.751,0.329
2023-01-07,KKH,508,614,0.839,0.428
2023-01-08,SGH,630,857,0.95,0.263
2023-01-08,NUH,1419,943,0.838,0.385
2023-01-08,TTSH,726,509,0.834,0.435
2023-01-08,CGH,1360,1192,0.844,0.279
2023-01-08,KTPH,1321,546,0.826,0.228
2023-01-08,AH,660,670,0.621,0.416
2023-01-08,IMH,1415,689,0.687,0.237
2023-01-08,KKH,900,1075,0.945,0.391
2023-01-09,SGH,1382,697,0.72,0.365
2023-01-09,NUH,537,522,0.717,0.268
2023-01-09,TTSH,782,499,0.95,0.326
2023-01-09,CGH,783,1173,0.852,0.495
2023-01-09,KTPH,1328,840,0.639,0.347
2023-01-09,AH,719,452,0.689,0.398
2023-01-09,IMH,680,919,0.831,0.424
2023-01-09,KKH,1482,477,0.723,0.199
2023-01-10,SGH,1292,877,0.711,0.299
2023-01-10,NUH,1138,443,0.678,0.489
2023-01-10,TTSH,603,994,0.696,0.232
2023-01-10,CGH,538,890,0.913,0.277
2023-01-10,KTPH,1317,1064,0.75,0.181
2023-01-10,AH,1402,979,0.74,0.37
2023-01-10,IMH,1275,679,0.673,0.399
2023-01-10,KKH,1382,743,0.767,0.337
2023-01-11,SGH,1299,1054,0.86,0.309
2023-01-11,NUH,1197,719,0.67,0.47
2023-01-11,TTSH,1181,1053,0.788,0.41
2023-01-11,CGH,1112,1347,0.903,0.162
2023-01-11,KTPH,1119,387,0.769,0.428
2023-01-11,AH,1491,1313,0.95,0.335
2023-01-11,IMH,1435,1253,0.95,0.276
2023-01-11,KKH,557,948,0.654,0.151
2023-01-12,SGH,1329,954,0.74,0.292
2023-01-12,NUH,1140,529,0.95,0.282
2023-01-12,TTSH,595,946,0.833,0.433
2023-01-12,CGH,688,1314,0.878,0.408
2023-01-12,KTPH,1360,545,0.732,0.542
2023-01-12,AH,934,1291,0.863,0.291
2023-01-12,IMH,719,453,0.799,0.268
2023-01-12,KKH,1457,769,0.808,0.29
2023-01-13,SGH,931,597,0.711,0.344
2023-01-13,NUH,1233,561,0.656,0.339
2023-01-13,TTSH,1336,569,0.95,0.207
2023-01-13,CGH,1261,961,0.831,0.303
2023-01-13,KTPH,824,964,0.95,0.351
2023-01-13,AH,757,931,0.935,0.365
2023-01-13,IMH,1351,1048,0.902,0.443
2023-01-13,KKH,1044,1356,0.95,0.531
2023-01-14,SGH,767,1163,0.872,0.397
2023-01-14,NUH,542,923,0.875,0.456
2023-01-14,TTSH,801,932,0.668,0.28
2023-01-14,CGH,1226,1100,0.817,0.307
2023-01-14,KTPH,1469,689,0.627,0.507
2023-01-14,AH,1402,426,0.614,0.268
2023-01-14,IMH,574,586,0.644,0.483
2023-01-14,KKH,1260,924,0.786,0.299
2023-01-15,SGH,691,1092,0.883,0.279
2023-01-15,NUH,1477,1193,0.797,0.362
2023-01-15,TTSH,1235,509,0.95,0.373
2023-01-15,CGH,778,654,0.915,0.239
2023-01-15,KTPH,1380,396,0.706,0.216
2023-01-15,AH,896,599,0.5,0.342
2023-01-15,IMH,1234,758,0.859,0.338
2023-01-15,KKH,643,828,0.599,0.014
2023-01-16,SGH,1447,1223,0.88,0.27
2023-01-16,NUH,1192,432,0.799,0.375
2023-01-16,TTSH,1250,1032,0.95,0.39
2023-01-16,CGH,1412,714,0.95,0.4
2023-01-16,KTPH,667,542,0.811,0.468
2023-01-16,AH,693,965,0.95,0.327
2023-01-16,IMH,1147,609,0.613,0.358
2023-01-16,KKH,800,563,0.893,0.331
2023-01-17,SGH,1286,896,0.95,0.255
2023-01-17,NUH,1213,1289,0.95,0.262
2023-01-17,TTSH,672,854,0.741,0.162
2023-01-17,CGH,1159,926,0.95,0.159
2023-01-17,KTPH,1434,473,0.947,0.404
2023-01-17,AH,1004,472,0.684,0.426
2023-01-17,IMH,1428,1036,0.723,0.345
2023-01-17,KKH,1184,1112,0.95,0.321
2023-01-18,SGH,579,783,0.565,0.41
2023-01-18,NUH,940,855,0.95,0.243
2023-01-18,TTSH,642,712,0.779,0.294
2023-01-18,CGH,1470,485,0.95,0.28
2023-01-18,KTPH,872,364,0.719,0.327
2023-01-18,AH,1147,1100,0.919,0.246
2023-01-18,IMH,1368,397,0.736,0.262
2023-01-18,KKH,1458,516,0.801,0.184
2023-01-19,SGH,960,927,0.753,0.19
2023-01-19,NUH,1046,566,0.753,0.31
2023-01-19,TTSH,1208,1092,0.832,0.415
2023-01-19,CGH,504,538,0.871,0.454
2023-01-19,KTPH,645,686,0.95,0.305
2023-01-19,AH,1326,980,0.758,0.494
2023-01-19,IMH,604,446,0.746,0.361
2023-01-19,KKH,1208,1202,0.883,0.302
2023-01-20,SGH,522,1343,0.898,0.369
2023-01-20,NUH,582,611,0.95,0.431
2023-01-20,TTSH,500,406,0.739,0.285
2023-01-20,CGH,948,992,0.719,0.283
2023-01-20,KTPH,1270,695,0.5,0.323
2023-01-20,AH,735,843,0.95,0.293
2023-01-20,IMH,1418,540,0.766,0.604
2023-01-20,KKH,574,877,0.939,0.471
2023-01-21,SGH,1237,1089,0.835,0.43
2023-01-21,NUH,834,1290,0.95,0.477
2023-01-21,TTSH,748,557,0.838,0.305
2023-01-21,CGH,1041,1169,0.93,0.34
2023-01-21,KTPH,1296,1329,0.95,0.373
2023-01-21,AH,1284,956,0.95,0.336
2023-01-21,IMH,625,712,0.572,0.471
2023-01-21,KKH,610,664,0.527,0.441
2023-01-22,SGH,1470,829,0.95,0.24
2023-01-22,NUH,1399,793,0.664,0.406
2023-01-22,TTSH,1166,562,0.95,0.326
2023-01-22,CGH,550,731,0.811,0.385
2023-01-22,KTPH,1181,962,0.725,0.455
2023-01-22,AH,1144,591,0.808,0.301
2023-01-22,IMH,1444,529,0.918,0.321
2023-01-22,KKH,1293,461,0.617,0.234
2023-01-23,SGH,555,806,0.95,0.33
2023-01-23,NUH,836,416,0.793,0.244
2023-01-23,TTSH,802,997,0.877,0.354
2023-01-23,CGH,527,1251,0.845,0.356
2023-01-23,KTPH,1165,973,0.95,0.375
2023-01-23,AH,862,1187,0.95,0.397
2023-01-23,IMH,691,1001,0.675,0.184
2023-01-23,KKH,538,1066,0.734,0.408
2023-01-24,SGH,1024,437,0.616,0.371
2023-01-24,NUH,732,318,0.523,0.311
2023-01-24,TTSH,969,506,0.95,0.288
2023-01-24,CGH,1247,1039,0.95,0.489
2023-01-24,KTPH,1191,485,0.622,0.236
2023-01-24,AH,814,877,0.638,0.41
2023-01-24,IMH,936,1073,0.924,0.331
2023-01-24,KKH,1123,768,0.757,0.224
2023-01-25,SGH,1346,1087,0.95,0.365
2023-01-25,NUH,1497,1227,0.849,0.395
2023-01-25,TTSH,1214,833,0.935,0.433
2023-01-25,CGH,1144,783,0.95,0.341
2023-01-25,KTPH,639,1000,0.946,0.269
2023-01-25,AH,1049,1238,0.95,0.426
2023-01-25,IMH,1344,720,0.95,0.351
2023-01-25,KKH,509,629,0.828,0.309
2023-01-26,SGH,820,777,0.95,0.292
2023-01-26,NUH,1470,1339,0.95,0.427
2023-01-26,TTSH,1105,297,0.5,0.27
2023-01-26,CGH,1087,1307,0.875,0.359
2023-01-26,KTPH,1417,924,0.863,0.334
2023-01-26,AH,1372,605,0.832,0.361
2023-01-26,IMH,1224,515,0.777,0.307
2023-01-26,KKH,909,999,0.932,0.453
2023-01-27,SGH,588,855,0.95,0.317
2023-01-27,NUH,1025,1055,0.812,0.48
2023-01-27,TTSH,522,611,0.569,0.315
2023-01-27,CGH,724,614,0.613,0.352
2023-01-27,KTPH,603,1067,0.738,0.355
2023-01-27,AH,1078,450,0.507,0.493
2023-01-27,IMH,999,488,0.95,0.459
2023-01-27,KKH,977,619,0.848,0.455
2023-01-28,SGH,910,1340,0.924,0.451
2023-01-28,NUH,1333,762,0.747,0.307
2023-01-28,TTSH,617,1239,0.95,0.346
2023-01-28,CGH,1376,357,0.5,0.418
2023-01-28,KTPH,1147,614,0.808,0.601
2023-01-28,AH,1184,314,0.5,0.311
2023-01-28,IMH,1431,636,0.804,0.336
2023-01-28,KKH,1159,462,0.908,0.507
2023-01-29,SGH,633,948,0.783,0.383
2023-01-29,NUH,862,490,0.548,0.289
2023-01-29,TTSH,1115,1008,0.76,0.306
2023-01-29,CGH,823,422,0.669,0.37
2023-01-29,KTPH,605,918,0.833,0.394
2023-01-29,AH,550,372,0.706,0.332
2023-01-29,IMH,919,480,0.706,0.3
2023-01-29,KKH,1449,777,0.729,0.445
2023-01-30,SGH,930,1366,0.931,0.214
2023-01-30,NUH,812,450,0.731,0.416
2023-01-30,TTSH,743,738,0.713,0.375
2023-01-30,CGH,846,633,0.617,0.072
2023-01-30,KTPH,1262,531,0.783,0.358
2023-01-30,AH,679,1113,0.921,0.197
2023-01-30,IMH,1165,486,0.742,0.441
2023-01-30,KKH,1348,502,0.862,0.202
2023-01-31,SGH,841,926,0.95,0.187
2023-01-31,NUH,826,823,0.649,0.365
2023-01-31,TTSH,934,999,0.719,0.189
2023-01-31,CGH,1169,599,0.765,0.463
2023-01-31,KTPH,643,586,0.635,0.497
2023-01-31,AH,870,406,0.602,0.42
2023-01-31,IMH,612,582,0.95,0.545
2023-01-31,KKH,1143,1326,0.95,0.348
2023-02-01,SGH,1142,993,0.765,0.328
2023-02-01,NUH,661,814,0.927,0.321
2023-02-01,TTSH,1334,1408,0.95,0.133
2023-02-01,CGH,827,472,0.854,0.209
2023-02-01,KTPH,550,1052,0.95,0.162
2023-02-01,AH,1302,565,0.95,0.394
2023-02-01,IMH,1313,843,0.852,0.356
2023-02-01,KKH,1322,1166,0.809,0.244
2023-02-02,SGH,1172,575,0.885,0.278
2023-02-02,NUH,581,911,0.9,0.437
2023-02-02,TTSH,1022,1100,0.884,0.425
2023-02-02,CGH,618,699,0.781,0.459
2023-02-02,KTPH,755,960,0.779,0.452
2023-02-02,AH,1366,949,0.95,0.314
2023-02-02,IMH,558,1072,0.875,0.252
2023-02-02,KKH,614,566,0.8,0.485
2023-02-03,SGH,736,699,0.896,0.179
2023-02-03,NUH,734,751,0.757,0.308
2023-02-03,TTSH,608,945,0.853,0.385
2023-02-03,CGH,516,712,0.606,0.405
2023-02-03,KTPH,1098,1071,0.95,0.397
2023-02-03,AH,1320,906,0.95,0.507
2023-02-03,IMH,1480,926,0.95,0.376
2023-02-03,KKH,629,1039,0.787,0.495
2023-02-04,SGH,791,650,0.748,0.37
2023-02-04,NUH,795,361,0.708,0.209
2023-02-04,TTSH,1306,1180,0.95,0.262
2023-02-04,CGH,1122,764,0.658,0.613
2023-02-04,KTPH,788,1026,0.814,0.368
2023-02-04,AH,1457,717,0.714,0.362
2023-02-04,IMH,653,518,0.547,0.449
2023-02-04,KKH,1438,886,0.795,0.527
2023-02-05,SGH,630,564,0.566,0.31
2023-02-05,NUH,977,537,0.895,0.447
2023-02-05,TTSH,543,778,0.536,0.464
2023-02-05,CGH,1314,403,0.789,0.412
2023-02-05,KTPH,1275,1415,0.95,0.362
2023-02-05,AH,873,1303,0.884,0.458
2023-02-05,IMH,588,561,0.732,0.413
2023-02-05,KKH,1418,1117,0.864,0.371
2023-02-06,SGH,1281,792,0.95,0.363
2023-02-06,NUH,1187,921,0.688,0.455
2023-02-06,TTSH,1434,1419,0.95,0.342
2023-02-06,CGH,772,973,0.95,0.298
2023-02-06,KTPH,687,838,0.639,0.4
2023-02-06,AH,1435,1311,0.883,0.302
2023-02-06,IMH,1026,1124,0.811,0.363
