date,polyclinic,total_attendance,elderly_attendance,chronic_disease_consultations,medication_refills
2023-01-01,Ang Mo Kio,157,60,44,118
2023-01-01,Bedok,131,49,43,88
2023-01-01,Bukit Batok,123,55,27,68
2023-01-01,Clementi,148,30,24,80
2023-01-01,Geylang,104,44,21,47
2023-01-01,Hougang,191,72,48,87
2023-01-01,Jurong,120,49,23,76
2023-01-01,Kallang,118,43,25,92
2023-01-01,Marine Parade,139,40,40,66
2023-01-01,Pasir Ris,147,29,26,91
2023-01-01,Punggol,165,68,40,94
2023-01-01,Queenstown,88,28,19,62
2023-01-01,Sembawang,152,34,40,85
2023-01-01,Sengkang,116,53,34,80
2023-01-01,Tampines,110,40,29,76
2023-01-01,Toa Payoh,123,46,23,59
2023-01-01,Woodlands,168,89,41,117
2023-01-01,Yishun,152,50,40,114
2023-01-02,Ang Mo Kio,198,110,23,135
2023-01-02,Bedok,204,75,51,81
2023-01-02,Bukit Batok,189,82,61,103
2023-01-02,Clementi,159,55,47,100
2023-01-02,Geylang,173,78,44,120
2023-01-02,Hougang,164,60,37,74
2023-01-02,Jurong,214,91,53,123
2023-01-02,Kallang,129,46,30,67
2023-01-02,Marine Parade,191,84,65,117
2023-01-02,Pasir Ris,212,83,32,126
2023-01-02,Punggol,203,131,48,127
2023-01-02,Queenstown,198,56,60,133
2023-01-02,Sembawang,239,73,76,109
2023-01-02,Sengkang,229,141,45,124
2023-01-02,Tampines,204,71,35,123
2023-01-02,Toa Payoh,146,65,29,110
2023-01-02,Woodlands,160,58,46,76
2023-01-02,Yishun,211,111,35,130
2023-01-03,Ang Mo Kio,212,101,39,99
2023-01-03,Bedok,226,97,59,143
2023-01-03,Bukit Batok,165,69,43,87
2023-01-03,Clementi,293,131,55,195
2023-01-03,Geylang,151,72,46,78
2023-01-03,Hougang,248,109,72,195
2023-01-03,Jurong,187,60,38,96
2023-01-03,Kallang,196,85,51,133
2023-01-03,Marine Parade,200,109,47,174
2023-01-03,Pasir Ris,231,72,45,149
2023-01-03,Punggol,188,88,51,111
2023-01-03,Queenstown,157,39,35,107
2023-01-03,Sembawang,210,57,54,134
2023-01-03,Sengkang,155,64,39,75
2023-01-03,Tampines,217,98,66,153
2023-01-03,Toa Payoh,131,40,36,85
2023-01-03,Woodlands,225,176,62,160
2023-01-03,Yishun,247,114,57,166
2023-01-04,Ang Mo Kio,161,60,36,97
2023-01-04,Bedok,315,67,89,138
2023-01-04,Bukit Batok,176,89,44,86
2023-01-04,Clementi,164,76,35,101
2023-01-04,Geylang,202,67,72,134
2023-01-04,Hougang,98,41,21,67
2023-01-04,Jurong,160,62,44,109
2023-01-04,Kallang,139,50,31,74
2023-01-04,Marine Parade,288,126,53,199
2023-01-04,Pasir Ris,306,153,53,168
2023-01-04,Punggol,263,86,71,178
2023-01-04,Queenstown,153,60,13,76
2023-01-04,Sembawang,187,51,62,85
2023-01-04,Sengkang,177,73,57,80
2023-01-04,Tampines,258,103,51,166
2023-01-04,Toa Payoh,209,71,52,117
2023-01-04,Woodlands,205,95,67,97
2023-01-04,Yishun,306,62,74,201
